path_id,seed,hit_power_s,j_at_hit_power,hit_linear_s,j_at_hit_linear
96,734921,0.4575,41.63011438873708,0.3295,27.793986849464105
97,734921,1.87,171.8057866102552,0.4925,403.56083462931065
98,734921,0.3245,10.116453193229768,0.8175,4341.375283846662
99,734921,0.308,24.416125714956074,0.509,245.76306380395894
100,734921,1.0010000000000001,137.84656597749685,1.4305,299.1119429773725
101,734921,1.5130000000000001,328.97557362991205,0.485,536.5279063374111
102,734921,0.335,66.09429933023094,0.6215,19.476960836623714
103,734921,0.578,1950.5164936015617,0.5415,3521.8589688343172
104,734921,1.3705,48933.020925075536,1.4725,707.7944431575306
105,734921,1.302,347.1252891815457,0.4305,155.70359225544806
106,734921,0.5630000000000001,51.010212820989544,0.321,112.12788005475961
107,734921,0.515,26.742842287639647,0.5405,6428.049810316604
108,734921,0.387,55.12259628337789,0.5650000000000001,17.632013877710133
109,734921,0.618,25.939122211028053,0.73,50.009543049193695
110,734921,0.6545,40.47531055386891,0.3185,310.66524293521996
111,734921,1.1815,796.1042655064853,0.435,202.865224799518
112,734921,0.48,44.13863499815837,0.483,24479.707929088756
113,734921,0.5755,295.3383519951937,0.9095,167.82089118554728
114,734921,0.541,48.24756478836777,0.6205,86.0111172209048
115,734921,1.354,224.39843429536614,0.737,168.36809006457855
116,734921,0.629,57.146459084587065,0.41200000000000003,374.74628503497803
117,734921,0.363,249.93435705989788,0.556,36.78304568682581
118,734921,0.7465,2182.511124076953,0.727,13.394259716949014
119,734921,0.488,1706.4845420909335,0.447,34.52846956785585
120,734921,0.5725,48.746090788014676,0.2475,602.6636912196185
121,734921,0.976,1408.8360138982116,0.513,84.57301087561521
122,734921,0.993,1567.1939062775505,0.608,16.567831926640864
123,734921,0.404,526.5970197967413,0.7515000000000001,47336.086652945676
124,734921,1.274,3035.6515667732506,0.8465,556.3123001503633
125,734921,0.7075,848.3364545703539,0.4305,109.78524296624335
126,734921,1.116,6775.8292718578505,0.6715,228.34413179915197
127,734921,0.8625,1605.4884970159583,1.3315000000000001,282.1041322783818
128,734921,0.2795,63.459901298814856,0.524,126.49628622270176
129,734921,0.907,51.98940614636998,0.4545,28.38702426446332
130,734921,0.47700000000000004,179.462275867137,0.418,15.01426084971652
131,734921,0.606,258.5981805852099,0.4625,154.90104309122805
132,734921,0.3655,39.28017740533003,0.4535,14.771518288612986
133,734921,0.769,215.1147326290741,0.3175,36.16832701845534
134,734921,4.7495,75195299.58809102,0.341,10.704293571190329
135,734921,0.5755,116.81362854842041,0.3545,193.18293797427881
136,734921,0.4965,25.817820073481453,1.2505,36922.273582889255
137,734921,1.41,228224.46915792944,0.649,88.30247435054659
138,734921,0.4975,108.62227938875527,1.024,49.68910917845808
139,734921,1.0105,918.7276763359238,0.2955,20.48690728136454
140,734921,0.74,693.2392292652414,0.421,7291.59719753077
141,734921,0.668,146.93756426227958,0.5155,313.5338913861528
142,734921,0.2785,19.790972291092608,0.904,8713.030628837294
143,734921,0.3615,84.84597754318035,0.638,325.70176789723723
144,734921,0.594,194.03859091474814,0.429,392.0436571109768
145,734921,0.384,71.38206341332094,0.6405,358.42513459120124
146,734921,0.353,19.453812313529347,0.3275,50.67437521971703
147,734921,2.3185000000000002,861.769465609728,0.358,21.977179018456187
148,734921,0.3665,39.07999145819323,0.2275,15.67154003192666
149,734921,0.4865,92.47235040708567,0.5145,147.0270003797124
150,734921,0.3915,16.49708995693078,0.209,40.35648593580198
151,734921,1.0665,963.9529155263609,0.6675,133.58669508183692
152,734921,0.4865,135.97527813959894,0.7995,22154.213781356175
153,734921,0.242,8.343145000655142,0.441,3173.9673282461986
154,734921,0.7045,199.95402392640304,0.677,77.32971201938396
155,734921,0.8210000000000001,993.4023179458093,0.6395000000000001,79.04113602746062
156,734921,0.3845,75.4343196955481,0.2975,93.84525860814975
157,734921,0.2525,94.10615319090078,0.6145,29.844971879692114
158,734921,0.8935000000000001,389.04735278868503,0.4015,37.91921674979357
159,734921,0.6980000000000001,99.05434650047303,0.404,32.683370926990854
160,734921,0.7695,77.72909962205459,1.341,26767.956438107143
161,734921,0.871,610.4592692003696,0.9825,281.23175444012156
162,734921,3.232,1014.9082299592158,0.3765,108.04045215077959
163,734921,0.307,40.09439911119807,0.9055,197.50159338141796
164,734921,0.4015,33.043872176335555,0.744,2152.768434280733
165,734921,0.6970000000000001,2825.406108196153,0.47650000000000003,448.54865738554247
166,734921,0.3035,12.516409855327085,0.3225,439.63505797864434
167,734921,0.5745,151.10565307862103,0.5345,74.80699144019017
168,734921,0.6425,1495.2757667247502,0.5585,21.483186168158326
169,734921,0.306,25.558720329462712,0.726,178.22857434746328
170,734921,1.091,174.41114431559677,1.125,51.82565651079363
171,734921,0.6495,158.547875116364,0.541,34.30170094933903
172,734921,0.458,19.1504277502062,0.8310000000000001,226.0822310816921
173,734921,1.391,778.213381387757,0.42,50.08143094732066
174,734921,0.552,37.322798425582455,0.4655,15.446595352565598
175,734921,0.439,205.782723639427,0.8695,5845.18190322218
176,734921,0.4175,39.493229265345676,0.8755000000000001,28294.698885837814
177,734921,0.655,113.44429720704278,0.626,57.576987096822464
178,734921,0.5435,86.82277154871615,0.425,193.10442630502376
179,734921,0.375,35.77472056327305,0.5625,92.42206111516633
180,734921,0.8505,2706.81578207161,0.335,289.7126342061412
181,734921,0.23750000000000002,34.10474475047131,0.34450000000000003,74.76697875597014
182,734921,0.7325,737.6090792866054,1.227,8.286136835143905
183,734921,0.23950000000000002,27.64807099629419,0.654,7.177626453894228
184,734921,0.5605,83.72183207339305,0.4025,28.78611733173606
185,734921,0.34650000000000003,35.575354957500934,0.3585,326.82331115276014
186,734921,0.3985,24.88785636857153,0.8355,49.569777563419464
187,734921,0.451,330.3233928995651,1.0725,71.26922841489703
188,734921,1.5170000000000001,140122.31373089785,0.7325,346.9164890197215
189,734921,0.551,109.1608669836495,0.7215,813.484634443461
190,734921,0.9885,642.1326217685167,0.755,2369.5110764667957
191,734921,0.5795,42.138829877367876,0.3325,18.925687246888504
192,734921,1.087,122.49299779734046,0.4495,124.15611057052439
193,734921,0.9695,4750.496335792584,0.47450000000000003,21.78322597138125
194,734921,0.5265,270.60572242397785,0.625,1068.6186825569287
195,734921,1.919,1177.0467607287737,0.739,118.16711972874108
196,734921,0.47000000000000003,52.75164112565701,0.494,520.4217836984635
197,734921,0.9135,3070.4321422162598,1.1440000000000001,85709.66946792351
198,734921,0.6625,125.05642065333066,0.59,209.38596239815112
199,734921,0.28,32.49703563824075,0.3085,92.8441339383782
200,734921,1.208,256.08745678058546,0.768,190.71646333552505
201,734921,0.4445,263.98071818737105,0.553,11.34649269769179
202,734921,0.6735,314.02538486595387,0.3395,154.4857507676383
203,734921,1.7235,477.90178617600566,0.4285,317.9996422983838
204,734921,0.537,83.92970548255245,0.4685,332.7757117031847
205,734921,1.4155,700.2173516494526,0.5115000000000001,1998.8912547035643
206,734921,1.35,47632.593337736485,0.8585,14539.106884058003
207,734921,0.9715,138.79903802562768,0.7595000000000001,17331.560400543283
208,734921,0.3625,62.60028046395838,0.40700000000000003,148.09363795531016
209,734921,1.627,114.22405435906325,0.8445,36.27172194386108
210,734921,1.075,8814.006613811327,0.9365,6450.873663298801
211,734921,0.7755,791.4555451307531,0.47500000000000003,56.1674242936856
212,734921,0.9425,195.14537460997548,0.17400000000000002,21.67298993407895
213,734921,0.307,30.8594250641311,0.5945,27.476544801911594
214,734921,0.5315,121.1780596835417,1.0775000000000001,1046.917065650126
215,734921,0.40900000000000003,83.56722033527495,0.3065,40.919023393764526
216,734921,0.5335,406.738643945147,0.558,41.026671156387046
217,734921,1.093,59.718684334928504,0.35150000000000003,35.27648175736995
218,734921,0.483,32.90011097587092,0.6055,183.85326573000268
219,734921,0.436,45.903247611508164,0.539,91.71914442001744
220,734921,0.2115,13.650695113659562,0.711,743.7812298220999
221,734921,1.446,915.4109009011023,0.47450000000000003,112.97089901151394
222,734921,0.276,63.65396031027965,0.495,25.705389836061812
223,734921,0.6125,93.02094508283535,0.4985,56.108702299916324
224,734921,0.146,13.962054264318082,0.452,46.935446826657525
225,734921,0.453,78.33193845918447,0.485,34.493030261435685
226,734921,0.47250000000000003,276.5920493911828,0.2715,119.13394338252952
227,734921,0.9275,353.6030676202306,0.5935,70.55737779054165
228,734921,0.714,260.5171449573537,0.3235,30.23943205573623
229,734921,1.537,1209.4574352892994,0.242,7.585793388970879
230,734921,0.4005,8.531680104199943,0.5750000000000001,10.042066409653216
231,734921,0.232,41.41633246466159,0.7265,519.9457775477134
232,734921,0.6085,95.2917255806271,0.54,21.55852558098785
233,734921,0.312,61.30211395617537,0.637,159.9775613823006
234,734921,0.211,38.419102605961285,0.27,44.491052728993864
235,734921,0.5855,154.633944140397,1.0745,3866.25632108611
236,734921,0.7155,2107.670495392685,0.8250000000000001,63.112665627311316
237,734921,0.435,103.20843711519342,0.456,57.793024141516646
238,734921,0.58,23.79522336480328,0.295,341.65800970206647
239,734921,0.312,128.47669372944648,1.4515,82.01831835697274
240,734921,0.6305000000000001,143.74000059542178,1.5290000000000001,31240960.80977399
241,734921,0.51,63.17036030946053,0.4315,24.65873603213358
242,734921,1.3865,10150.339456302301,0.559,232.98282755194083
243,734921,0.388,35.35115830479289,0.499,171.20441741463546
244,734921,0.256,38.372685672463085,0.636,18.091495359809702
245,734921,0.393,66.57335370334755,1.0355,3160.1976605612836
246,734921,0.4855,148.56844818800965,0.40650000000000003,22.21551615186098
247,734921,1.547,5709.0292008189535,0.5700000000000001,156.45592367789078
248,734921,0.598,102.44093273379255,1.3435000000000001,13112.586690575541
249,734921,0.423,124.6262287689746,0.719,37115.26065325839
250,734921,0.8,3150.590469509511,0.1045,11.979353177730166
251,734921,0.651,48.73257521200897,0.658,283.6506303181355
252,734921,0.755,212.7579834712943,0.405,75.24312953707928
253,734921,0.708,1124.5858723950553,0.531,14.178592076655319
254,734921,1.4055,1359.189769807713,0.882,290.3322213793558
255,734921,0.9480000000000001,916.9905413986077,0.673,36.767434546886385
256,734921,0.29,41.736440922865356,0.8385,1064.4660784178916
257,734921,0.9510000000000001,1665.9794978740174,1.105,160.2124550208899
258,734921,0.494,11.245635045291692,0.6980000000000001,22.927845960998035
259,734921,0.3115,19.250103879640342,0.1935,48.78192061297128
260,734921,0.47050000000000003,49.210086314008734,0.6975,1034.9794005541733
261,734921,0.4595,120.74614594863502,1.2695,69.52601214989916
262,734921,0.491,2599.8575690832645,0.898,45.87289952307314
263,734921,0.307,21.528183687704807,0.5125,41.462579775384526
264,734921,0.3425,13.104382223882764,0.5760000000000001,15.9270617448723
265,734921,0.5675,838.9878080659904,0.4205,195.79152374425675
266,734921,0.505,14.412487353078713,0.6305000000000001,225.33718736869335
267,734921,0.5055000000000001,36.52960514500454,0.8260000000000001,53.5587988758206
268,734921,0.5395,961.1062771381339,0.7805,39.69945072066946
269,734921,1.036,32126.268149360367,1.576,636.1896574343824
270,734921,0.54,207.894242113329,0.526,43.562740158560054
271,734921,0.4045,108.4640625368191,0.3655,520.8663288800105
272,734921,1.0925,313.7499304777761,0.5655,89.16445425687945
273,734921,1.3900000000000001,598.7813252557968,1.062,72.7472278743457
274,734921,0.9580000000000001,2303.5641236469314,0.556,1870.1965864983765
275,734921,1.0125,7619.579192367881,0.3195,22587.42637794938
276,734921,0.183,13.220152174449906,0.806,19.152642432649394
277,734921,0.8135,103.78308423749199,0.3895,6.989604083043239
278,734921,0.9185,501.03593454223636,0.234,28.815600382318035
279,734921,0.34550000000000003,34.94948391977824,0.54,280.44567832930034
280,734921,0.4365,235.5582876116614,1.1400000000000001,196.38924305831048
281,734921,0.522,169.5424634548103,0.8395,2289773.547267609
282,734921,1.0035,2824.8071430243413,0.255,21.598179014962064
283,734921,0.5455,77.98893139528795,0.549,96.10422903849731
284,734921,0.992,1301.5151633883795,0.7465,775.506811703801
285,734921,1.3015,421.23606567778705,0.445,45.21178081932519
286,734921,2.2665,89072.30447190553,0.40800000000000003,399.42806440669955
287,734921,0.4675,30.326735277046676,0.2915,77.17152541047102
288,734921,0.41050000000000003,114.65795077896324,0.43,45.62445041440429
289,734921,1.4705000000000001,262178.6951505114,0.4195,622.7778860767321
290,734921,0.5955,491.868935075203,0.259,27.564141625260348
291,734921,0.5865,1119.301878717082,1.028,816.8906604223982
292,734921,1.046,66.80685327053378,0.2505,38.022283852880314
293,734921,3.9005,15889.80368086549,0.4505,455.0027632332631
294,734921,0.7785,719.5268253906637,0.604,116.10713096380127
295,734921,1.135,303.64265133821516,1.162,694.3074413299616
