path_id,seed,rho,pin_gain,hit_s
323,734921,1.0,3.0,1.0405
324,734921,1.0,3.0,0.2635
325,734921,1.0,3.0,0.867
326,734921,1.0,3.0,0.6705
327,734921,1.0,3.0,1.0050000000000001
328,734921,1.0,3.0,0.7565000000000001
329,734921,1.0,3.0,0.47400000000000003
330,734921,1.0,3.0,0.4295
331,734921,1.0,3.0,0.7665000000000001
332,734921,1.0,3.0,0.6815
333,734921,1.0,3.0,0.526
334,734921,1.0,3.0,0.9085
335,734921,1.0,3.0,0.648
336,734921,1.0,3.0,0.5675
337,734921,1.0,3.0,0.4615
338,734921,1.0,3.0,1.286
339,734921,1.0,3.0,0.377
340,734921,1.0,3.0,0.452
341,734921,1.0,3.0,1.1925000000000001
342,734921,1.0,3.0,1.7325
343,734921,1.0,3.0,0.5415
344,734921,1.0,3.0,1.174
345,734921,1.0,3.0,1.0495
346,734921,1.0,3.0,0.40750000000000003
347,734921,1.0,3.0,0.384
348,734921,1.0,3.0,0.9515
349,734921,1.0,3.0,1.089
350,734921,1.0,3.0,1.1405
351,734921,1.0,3.0,0.932
352,734921,1.0,3.0,1.121
353,734921,1.0,3.0,0.5345
354,734921,1.0,3.0,0.8125
355,734921,1.0,3.0,0.589
356,734921,1.0,3.0,0.4975
357,734921,1.0,3.0,0.871
358,734921,1.0,3.0,0.872
359,734921,1.0,3.0,0.676
360,734921,1.0,3.0,0.985
361,734921,1.0,3.0,1.1945000000000001
362,734921,1.0,3.0,0.987
363,734921,1.0,3.0,0.773
364,734921,1.0,3.0,0.509
365,734921,1.0,3.0,0.4175
366,734921,1.0,3.0,0.709
367,734921,1.0,3.0,0.812
368,734921,1.0,3.0,3.603
369,734921,1.0,3.0,0.9885
370,734921,1.0,3.0,0.9795
371,734921,1.0,3.0,0.84
372,734921,1.0,3.0,1.3175000000000001
373,734921,1.0,3.0,0.299
374,734921,1.0,3.0,0.232
375,734921,1.0,3.0,0.6825
376,734921,1.0,3.0,0.5215
377,734921,1.0,3.0,1.685
378,734921,1.0,3.0,0.577
379,734921,1.0,3.0,0.2925
380,734921,1.0,3.0,0.9395
381,734921,1.0,3.0,0.9935
382,734921,1.0,3.0,1.046
383,734921,1.0,3.0,0.35050000000000003
384,734921,1.0,3.0,0.8150000000000001
