time_s,leader,state_full_1,state_full_2,state_full_3,state_full_4,error_full_1,error_full_2,error_full_3,error_full_4,error_power_1,error_power_2,error_power_3,error_power_4,error_linear_1,error_linear_2,error_linear_3,error_linear_4,error_none_1,error_none_2,error_none_3,error_none_4,hit_time_full_s
0.35100000000000003,1.085322019072126,1.085322019072126,1.085322019072126,1.085322019072126,1.085322019072126,0.0,0.0,0.0,0.0,0.39027753120591263,0.07648354659159996,-1.4514570560192435,-0.48756965972769456,0.0,0.0,0.0,0.0,3.117951581321801,2.1160713085596448,-6.934731411054678,-2.8678814775872543,0.221
0.35150000000000003,1.0855366162412585,1.0855366162412585,1.0855366162412585,1.0855366162412585,1.0855366162412585,0.0,0.0,0.0,0.0,0.35244538151769783,0.06373913091340287,-1.3326736358367128,-0.44728017250085195,0.0,0.0,0.0,0.0,3.118104873016148,2.1162224539900034,-6.936077771880024,-2.869186578190377,0.221
0.352,1.0857515956468944,1.0857515956468944,1.0857515956468944,1.0857515956468944,1.0857515956468944,0.0,0.0,0.0,0.0,0.2949621609706531,0.04508777783554303,-1.1493196623858424,-0.38522874653409334,0.0,0.0,0.0,0.0,3.118258105784225,2.116373542059098,-6.9374241919061586,-2.87049182541517,0.221
0.3525,1.0859669577556368,1.0859669577556368,1.0859669577556368,1.0859669577556368,1.0859669577556368,0.0,0.0,0.0,0.0,0.36478549530638493,0.06613090626920534,-1.378692828406906,-0.4625062452291032,0.0,0.0,0.0,0.0,3.118411279540917,2.1165245726820645,-6.938770671218161,-2.8717972191478793,0.221
0.353,1.086182703033791,1.086182703033791,1.086182703033791,1.086182703033791,1.086182703033791,0.0,0.0,0.0,0.0,0.3897001482005644,0.07421376728919028,-1.4589395717135718,-0.4895194382605996,0.0,0.0,0.0,0.0,3.118564394201084,2.1166755457740143,-6.940117209901135,-2.873102759275196,0.221
0.3535,1.086398831947363,1.086398831947363,1.086398831947363,1.086398831947363,1.086398831947363,0.0,0.0,0.0,0.0,0.35797493433711275,0.06366573551571256,-1.358878708616397,-0.45561072714577355,0.0,0.0,0.0,0.0,3.11871744967956,2.116826461250032,-6.941463808040209,-2.8744084456842534,0.221
0.354,1.0866153449620597,1.0866153449620597,1.0866153449620597,1.0866153449620597,1.0866153449620597,0.0,0.0,0.0,0.0,0.40030732855929146,0.0772897318920553,-1.4953097817287857,-0.5015717222093313,0.0,0.0,0.0,0.0,3.118870445891155,2.116977319025178,-6.942810465720538,-2.8757142782626275,0.221
0.3545,1.0868322425432875,1.0868322425432875,1.0868322425432875,1.0868322425432875,1.0868322425432875,0.0,0.0,0.0,0.0,0.4794507331264425,0.10375801120033205,-1.746644662890434,-0.5863822667023691,0.0,0.0,0.0,0.0,3.1190233827506537,2.1171281190144873,-6.944157183027301,-2.877020256898335,0.221
0.355,1.0870495251561514,1.0870495251561514,1.0870495251561514,1.0870495251561514,1.0870495251561514,0.0,0.0,0.0,0.0,0.4025417200252293,0.07654875991301102,-1.5087192784170478,-0.5057848270199021,0.0,0.0,0.0,0.0,3.1191762601728183,2.11727886113297,-6.9455039600456985,-2.878326381479833,0.221
0.3555,1.0872671932654547,1.0872671932654547,1.0872671932654547,1.0872671932654547,1.0872671932654547,0.0,0.0,0.0,0.0,0.3580801347583943,0.061772796061374965,-1.3681241214731754,-0.45822102553688937,0.0,0.0,0.0,0.0,3.119329078072387,2.1174295452956127,-6.946850796860958,-2.879632651896017,0.221
0.356,1.087485247335698,1.087485247335698,1.087485247335698,1.087485247335698,1.087485247335698,0.0,0.0,0.0,0.0,0.35889685060322657,0.06202492166785681,-1.3713225557604232,-0.4592077139618079,0.0,0.0,0.0,0.0,3.119481836364074,2.1175801714173783,-6.9481976935583285,-2.8809390680362217,0.221
0.3565,1.0877036878310777,1.0877036878310777,1.0877036878310777,1.0877036878310777,1.0877036878310777,0.0,0.0,0.0,0.0,0.32749125993656375,0.052027931438979394,-1.2705314725035775,-0.42514383288816104,0.0,0.0,0.0,0.0,3.1196345349625725,2.117730739413206,-6.949544650223082,-2.882245629790217,0.221
0.357,1.087922515215487,1.087922515215487,1.087922515215487,1.087922515215487,1.087922515215487,0.0,0.0,0.0,0.0,0.3293687418576826,0.05259624616191096,-1.2771727099060566,-0.427295091929851,0.0,0.0,0.0,0.0,3.119787173782552,2.1178812491980126,-6.950891666940512,-2.8835523370482106,0.221
0.3575,1.0881417299525131,1.0881417299525131,1.0881417299525131,1.0881417299525131,1.0881417299525131,0.0,0.0,0.0,0.0,0.25120454677698867,0.02855576518597628,-1.0223466065193705,-0.3414302504517505,0.0,0.0,0.0,0.0,3.1199397527386608,2.1180317006866916,-6.952238743795936,-2.8848591897008435,0.221
0.358,1.0883613325054378,1.0883613325054378,1.0883613325054378,1.0883613325054378,1.0883613325054378,0.0,0.0,0.0,0.0,0.21851197212274168,0.019723116878061955,-0.91160040323302,-0.304199949687468,0.0,0.0,0.0,0.0,3.1200922717455253,2.118182093794115,-6.953585880874692,-2.886166187639192,0.221
0.3585,1.0885813233372361,1.0885813233372361,1.0885813233372361,1.0885813233372361,1.0885813233372361,0.0,0.0,0.0,0.0,0.22504952279125517,0.021356575255182322,-0.9345628549654992,-0.3118455185623548,0.0,0.0,0.0,0.0,3.120244730717751,2.1183324284351337,-6.954933078262137,-2.887473330754765,0.221
0.359,1.0888017029105757,1.0888017029105757,1.0888017029105757,1.0888017029105757,1.0888017029105757,0.0,0.0,0.0,0.0,0.24477564086701276,0.026375037314358973,-1.0030196760813865,-0.33473723144801343,0.0,0.0,0.0,0.0,3.1203971295699233,2.1184827045245758,-6.956280336043652,-2.8887806189395024,0.221
0.3595,1.0890224716878159,1.0890224716878159,1.0890224716878159,1.0890224716878159,1.0890224716878159,0.0,0.0,0.0,0.0,0.23737412379955575,0.024404283062432974,-0.9780682572873682,-0.32631095173862806,0.0,0.0,0.0,0.0,3.1205494682166064,2.1186329219772495,-6.957627654304638,-2.8900880520857757,0.221
0.36,1.0892436301310073,1.0892436301310073,1.0892436301310073,1.0892436301310073,1.0892436301310073,0.0,0.0,0.0,0.0,0.2971604164848949,0.04001807990094547,-1.183652496126554,-0.3951593022836934,0.0,0.0,0.0,0.0,3.120701746572345,2.118783080707942,-6.958975033130513,-2.8913956300863863,0.221
0.3605,1.0894651787018907,1.0894651787018907,1.0894651787018907,1.0894651787018907,1.0894651787018907,0.0,0.0,0.0,0.0,0.2946340375991001,0.03928481852792028,-1.1756687427518793,-0.3924022272037469,0.0,0.0,0.0,0.0,3.120853964551664,2.1189331806314216,-6.960322472606719,-2.892703352834564,0.221
0.361,1.089687117861896,1.089687117861896,1.089687117861896,1.089687117861896,1.089687117861896,0.0,0.0,0.0,0.0,0.30791164662642195,0.043075832278431224,-1.2205237801012951,-0.4073775086061173,0.0,0.0,0.0,0.0,3.121006122069071,2.1190832216624345,-6.961669972818713,-2.894011220223966,0.221
0.3615,1.0899094480721423,1.0899094480721423,1.0899094480721423,1.0899094480721423,1.0899094480721423,0.0,0.0,0.0,0.0,0.2804251727762898,0.035055488018796585,-1.1295660038414104,-0.37676977546085677,0.0,0.0,0.0,0.0,3.121158219039052,2.1192332037157096,-6.963017533851974,-2.8953192321486774,0.221
0.362,1.0901321697934359,1.0901321697934359,1.0901321697934359,1.0901321697934359,1.0901321697934359,0.0,0.0,0.0,0.0,0.29794650245287446,0.03994389961022347,-1.1890421831582534,-0.3966378057078978,0.0,0.0,0.0,0.0,3.1213102553760774,2.1193831267059564,-6.964365155791996,-2.896627388503208,0.221
0.3625,1.0903552834862709,1.0903552834862709,1.0903552834862709,1.0903552834862709,1.0903552834862709,0.0,0.0,0.0,0.0,0.2695286388647862,0.03178410008161671,-1.0944376578762303,-0.36483337039508573,0.0,0.0,0.0,0.0,3.1214622309945983,2.1195329905478655,-6.965712838724294,-2.8979356891824923,0.221
0.363,1.0905787896108274,1.0905787896108274,1.0905787896108274,1.0905787896108274,1.0905787896108274,0.0,0.0,0.0,0.0,0.29543305677868376,0.03886859981090668,-1.1827275431652153,-0.3943409137568211,0.0,0.0,0.0,0.0,3.1216141458090485,2.1196827951561095,-6.967060582734399,-2.899244134081889,0.221
0.3635,1.090802688626971,1.090802688626971,1.090802688626971,1.090802688626971,1.090802688626971,0.0,0.0,0.0,0.0,0.34524394747225867,0.05305249030718875,-1.350240196650156,-0.45040859644972575,0.0,0.0,0.0,0.0,3.121765999733845,2.1198325404453433,-6.96840838790786,-2.9005527230971793,0.221
0.364,1.0910269809942523,1.0910269809942523,1.0910269809942523,1.0910269809942523,1.0910269809942523,0.0,0.0,0.0,0.0,0.32175231942554566,0.04592826976743443,-1.2734921926626572,-0.4245677718089226,0.0,0.0,0.0,0.0,3.121917792683388,2.119982226330205,-6.969756254330241,-2.901861456124565,0.221
0.3645,1.091251667171906,1.091251667171906,1.091251667171906,1.091251667171906,1.091251667171906,0.0,0.0,0.0,0.0,0.39644295944738395,0.06788607360605078,-1.5221919980792493,-0.5078537526483375,0.0,0.0,0.0,0.0,3.1220695245720624,2.120131852725315,-6.971104182087124,-2.9031703330606695,0.221
