path_id,seed,hit_rho_0p00_s,j_at_hit_rho_0p00,hit_rho_0p25_s,j_at_hit_rho_0p25,hit_rho_0p50_s,j_at_hit_rho_0p50,hit_rho_0p75_s,j_at_hit_rho_0p75,hit_rho_1p00_s,j_at_hit_rho_1p00
4402,734921,0.3665,180.7462380445263,0.3375,141.4933079299112,0.337,105.57598334308621,0.3295,72.87777809062082,0.272,34.37541298601129
4403,734921,0.5085000000000001,1636.3855308095174,0.509,929.2601694269988,0.5035000000000001,413.21524138195474,0.4995,133.71612852978083,0.3795,25.56559237179362
4404,734921,0.363,307.4743590495897,0.2985,203.3298631828314,0.298,129.58027080266075,0.2925,91.91610168352118,0.2795,96.31635088195456
4405,734921,0.2225,133.846336908739,0.2225,141.1116761579128,0.2435,142.17800691176848,0.3215,133.35413343797566,0.325,89.44339086846291
4406,734921,0.242,215.51438182528975,0.2425,138.0242497936393,0.243,90.8073519604299,0.2455,59.034613400322904,0.248,29.660979018465433
4407,734921,0.226,362.76479927987685,0.223,427.38194132666234,0.2195,477.09513229740827,0.216,497.3803318565783,0.1845,402.3873844745128
4408,734921,0.16,28.89928246645988,0.1635,35.776023537030845,0.167,51.05470688521894,0.26,91.9996792137264,0.2895,488.0172430890345
4409,734921,0.6105,550.919050522593,0.534,523.6325049279964,0.5175,545.8204713473768,0.48,652.683672394261,0.442,875.3468373086854
4410,734921,0.3635,69.53292723985943,0.3635,63.582092461514215,0.3635,57.870031604825805,0.3395,51.32558149066104,0.195,38.357498191305105
4411,734921,0.1215,57.84070549454411,0.125,61.44482910023945,0.1265,66.1992011284035,0.17400000000000002,73.17987961065091,0.2495,93.85689160355791
4412,734921,0.24,108.21176018970085,0.258,189.8921202730308,0.26,334.1794652122079,0.2625,595.1367773093906,0.2805,1302.209466661725
4413,734921,0.378,171.95379444579638,0.28500000000000003,94.44001692225139,0.2145,58.6589527297605,0.1045,37.92447662565098,0.0885,18.379849663168105
4414,734921,0.234,239.5950451937583,0.234,213.18181432355306,0.234,186.4807052994044,0.234,161.72544130351625,0.234,132.70449478007112
4415,734921,0.3705,144.21805780620588,0.3665,74.9799157008193,0.304,40.80858067478419,0.2755,22.047423544913904,0.14200000000000002,9.940794136301399
4416,734921,0.47250000000000003,80.80938052641802,0.481,101.19834894098895,0.729,175.7476209746704,0.7785,359.56118792404254,0.9105,675.6720810732141
4417,734921,0.405,39719.01700954098,0.445,57708.524731826146,0.4685,68769.7781368232,0.762,65558.65793473026,0.909,73815.18405237526
4418,734921,0.47100000000000003,352.26567331096146,0.47450000000000003,333.4273196198414,0.4935,305.6940764398778,0.509,283.48174214374654,0.48,254.64728203187974
4419,734921,0.516,116.22828387344109,0.54,59.18379966961132,0.54,30.284687035994647,0.5425,17.044180872581194,0.5415,13.878785298873984
4420,734921,0.20600000000000002,290.52684171669654,0.219,530.0689069503015,0.231,1287.1330496650812,0.23500000000000001,5087.497828983508,0.392,96547.63282066621
4421,734921,0.579,5885.6416534695545,0.626,12366.873251157182,0.637,27439.861968013578,0.652,72582.72369841242,0.652,255107.3400443106
4422,734921,0.3435,1040.6003964129798,0.34550000000000003,1389.6459731931632,0.34650000000000003,1938.8279273009423,0.359,3046.869436997564,0.372,7416.301501768415
4423,734921,0.1775,57.41114758662917,0.168,61.96541508196112,0.167,67.65554875356712,0.154,75.2761785831276,0.1535,94.14620111008662
4424,734921,0.538,192.0551225236228,0.545,204.09296968403203,0.582,221.9956414766791,0.586,247.89299427390526,0.582,256.37227804141634
4425,734921,0.296,1195.0595545263207,0.3035,3137.0938761436896,0.3045,7875.857006409239,0.306,19271.85960129133,0.41350000000000003,54735.70806653567
4426,734921,0.3085,137.43560137463496,0.328,138.81912471405292,0.361,140.1574729115078,0.3855,142.966903115019,0.44,174.65035129252217
4427,734921,0.213,71.96598385965144,0.213,81.04500614529846,0.21,94.2788222388722,0.21,116.04913287718803,0.2095,193.22197091851044
4428,734921,0.1965,11.683560687337991,0.1825,11.948953778169598,0.14400000000000002,12.53128394306548,0.14300000000000002,13.56207618832966,0.179,17.142369237911584
4429,734921,0.185,354.79010818317903,0.28600000000000003,677.5558378279617,0.3235,1251.7107486971959,0.3235,2255.305610067293,0.3215,4209.261511298409
4430,734921,0.2405,218.53882317492688,0.249,296.89173420597297,0.2755,396.3335295386797,0.294,526.3393095738763,0.3795,770.0977013620534
4431,734921,0.1575,78.5694147178019,0.1705,101.3416551755316,0.1765,134.9054350345487,0.187,192.0379243596838,0.23900000000000002,437.8408511848787
4432,734921,0.222,25.96347096100348,0.2185,21.73500037199064,0.2105,18.843072802479675,0.20650000000000002,16.762269328508935,0.14250000000000002,15.460292259126222
